,label,values
350,pos,0.296
351,compound,0.8779
352,neg,0.0
353,neu,1.0
354,pos,0.0
355,compound,0.0
356,neg,0.0
357,neu,1.0
358,pos,0.0
359,compound,0.0
360,neg,0.367
361,neu,0.469
362,pos,0.164
363,compound,-0.3837
364,neg,0.0
365,neu,1.0
366,pos,0.0
367,compound,0.0
368,neg,0.0
369,neu,0.676
370,pos,0.324
371,compound,0.6908
372,neg,0.0
373,neu,1.0
374,pos,0.0
375,compound,0.0
376,neg,0.0
377,neu,0.625
378,pos,0.375
379,compound,0.4588
380,neg,0.0
381,neu,1.0
382,pos,0.0
383,compound,0.0
384,neg,0.0
385,neu,0.351
386,pos,0.649
387,compound,0.5719
388,neg,0.0
389,neu,0.588
390,pos,0.412
391,compound,0.6808
392,neg,0.0
393,neu,0.351
394,pos,0.649
395,compound,0.5719
396,neg,0.0
397,neu,1.0
398,pos,0.0
399,compound,0.0
400,neg,0.0
401,neu,0.864
402,pos,0.136
403,compound,0.4588
404,neg,0.075
405,neu,0.561
406,pos,0.364
407,compound,0.802
408,neg,0.0
409,neu,0.715
410,pos,0.285
411,compound,0.4927
412,neg,0.0
413,neu,0.747
414,pos,0.253
415,compound,0.7269
416,neg,0.0
417,neu,1.0
418,pos,0.0
419,compound,0.0
420,neg,0.0
421,neu,0.931
422,pos,0.069
423,compound,0.25
424,neg,0.0
425,neu,1.0
426,pos,0.0
427,compound,0.0
428,neg,0.0
429,neu,0.676
430,pos,0.324
431,compound,0.7717
432,neg,0.0
433,neu,1.0
434,pos,0.0
435,compound,0.0
436,neg,0.0
437,neu,1.0
438,pos,0.0
439,compound,0.0
440,neg,0.0
441,neu,1.0
442,pos,0.0
443,compound,0.0
444,neg,0.0
445,neu,1.0
446,pos,0.0
447,compound,0.0
448,neg,0.106
449,neu,0.894
450,pos,0.0
451,compound,-0.1695
452,neg,0.0
453,neu,0.827
454,pos,0.173
455,compound,0.3182
456,neg,0.112
457,neu,0.888
458,pos,0.0
459,compound,-0.2846
460,neg,0.0
461,neu,1.0
462,pos,0.0
463,compound,0.0
464,neg,0.0
465,neu,1.0
466,pos,0.0
467,compound,0.0
468,neg,0.0
469,neu,1.0
470,pos,0.0
471,compound,0.0
472,neg,0.0
473,neu,1.0
474,pos,0.0
475,compound,0.0
476,neg,0.139
477,neu,0.861
478,pos,0.0
479,compound,-0.2732
480,neg,0.047
481,neu,0.806
482,pos,0.147
483,compound,0.5584
484,neg,0.0
485,neu,0.928
486,pos,0.072
487,compound,0.2755
488,neg,0.0
489,neu,1.0
490,pos,0.0
491,compound,0.0
492,neg,0.0
493,neu,1.0
494,pos,0.0
495,compound,0.0
496,neg,0.0
497,neu,0.588
498,pos,0.412
499,compound,0.2732
500,neg,0.0
501,neu,0.872
502,pos,0.128
503,compound,0.296
504,neg,0.0
505,neu,1.0
506,pos,0.0
507,compound,0.0
508,neg,0.0
509,neu,0.852
510,pos,0.148
511,compound,0.6956
512,neg,0.0
513,neu,1.0
514,pos,0.0
515,compound,0.0
516,neg,0.0
517,neu,1.0
518,pos,0.0
519,compound,0.0
520,neg,0.0
521,neu,1.0
522,pos,0.0
523,compound,0.0
524,neg,0.128
525,neu,0.872
526,pos,0.0
527,compound,-0.296
528,neg,0.0
529,neu,1.0
530,pos,0.0
531,compound,0.0
532,neg,0.0
533,neu,1.0
534,pos,0.0
535,compound,0.0
536,neg,0.0
537,neu,1.0
538,pos,0.0
539,compound,0.0
540,neg,0.5
541,neu,0.5
542,pos,0.0
543,compound,-0.25
544,neg,0.0
545,neu,0.786
546,pos,0.214
547,compound,0.4588
548,neg,0.0
549,neu,0.78
550,pos,0.22
551,compound,0.4767
552,neg,0.0
553,neu,0.861
554,pos,0.139
555,compound,0.5267
556,neg,0.0
557,neu,0.742
558,pos,0.258
559,compound,0.8107
560,neg,0.068
561,neu,0.836
562,pos,0.096
563,compound,0.2247
564,neg,0.0
565,neu,1.0
566,pos,0.0
567,compound,0.0
568,neg,0.0
569,neu,1.0
570,pos,0.0
571,compound,0.0
572,neg,0.0
573,neu,1.0
574,pos,0.0
575,compound,0.0
576,neg,0.0
577,neu,0.822
578,pos,0.178
579,compound,0.3818
580,neg,0.0
581,neu,0.711
582,pos,0.289
583,compound,0.6249
584,neg,0.0
585,neu,1.0
586,pos,0.0
587,compound,0.0
588,neg,0.0
589,neu,1.0
590,pos,0.0
591,compound,0.0
592,neg,0.0
593,neu,0.859
594,pos,0.141
595,compound,0.3182
596,neg,0.058
597,neu,0.942
598,pos,0.0
599,compound,-0.5267
600,neg,0.0
601,neu,1.0
602,pos,0.0
603,compound,0.0
604,neg,0.206
605,neu,0.794
606,pos,0.0
607,compound,-0.5267
608,neg,0.0
609,neu,0.779
610,pos,0.221
611,compound,0.1779
612,neg,0.0
613,neu,0.351
614,pos,0.649
615,compound,0.5719
616,neg,0.0
617,neu,0.351
618,pos,0.649
619,compound,0.5719
620,neg,0.0
621,neu,0.813
622,pos,0.187
623,compound,0.3182
624,neg,0.0
625,neu,1.0
626,pos,0.0
627,compound,0.0
628,neg,0.0
629,neu,0.945
630,pos,0.055
631,compound,0.3612
632,neg,0.0
633,neu,1.0
634,pos,0.0
635,compound,0.0
636,neg,0.0
637,neu,1.0
638,pos,0.0
639,compound,0.0
640,neg,0.0
641,neu,1.0
642,pos,0.0
643,compound,0.0
644,neg,0.094
645,neu,0.755
646,pos,0.151
647,compound,0.296
648,neg,0.0
649,neu,0.807
650,pos,0.193
651,compound,0.4723
652,neg,0.146
653,neu,0.854
654,pos,0.0
655,compound,-0.34
656,neg,0.07
657,neu,0.852
658,pos,0.078
659,compound,0.0516
660,neg,0.0
661,neu,1.0
662,pos,0.0
663,compound,0.0
664,neg,0.0
665,neu,1.0
666,pos,0.0
667,compound,0.0
668,neg,0.0
669,neu,1.0
670,pos,0.0
671,compound,0.0
672,neg,0.039
673,neu,0.961
674,pos,0.0
675,compound,-0.3182
676,neg,0.0
677,neu,1.0
678,pos,0.0
679,compound,0.0
680,neg,0.0
681,neu,0.874
682,pos,0.126
683,compound,0.6956
684,neg,0.0
685,neu,1.0
686,pos,0.0
687,compound,0.0
688,neg,0.31
689,neu,0.651
690,pos,0.039
691,compound,-0.9709
692,neg,0.057
693,neu,0.672
694,pos,0.271
695,compound,0.802
696,neg,0.122
697,neu,0.717
698,pos,0.161
699,compound,0.0258
700,neg,0.0
701,neu,0.688
702,pos,0.312
703,compound,0.6124
704,neg,0.0
705,neu,0.775
706,pos,0.225
707,compound,0.4404
708,neg,0.129
709,neu,0.736
710,pos,0.135
711,compound,0.0258
712,neg,0.0
713,neu,0.602
714,pos,0.398
715,compound,0.8225
716,neg,0.111
717,neu,0.889
718,pos,0.0
719,compound,-0.3089
720,neg,0.0
721,neu,1.0
722,pos,0.0
723,compound,0.0
724,neg,0.0
725,neu,0.758
726,pos,0.242
727,compound,0.8221
728,neg,0.031
729,neu,0.831
730,pos,0.138
731,compound,0.6605
732,neg,0.0
733,neu,0.847
734,pos,0.153
735,compound,0.4019
736,neg,0.0
737,neu,0.894
738,pos,0.106
739,compound,0.7003
740,neg,0.0
741,neu,1.0
742,pos,0.0
743,compound,0.0
744,neg,0.0
745,neu,1.0
746,pos,0.0
747,compound,0.0
748,neg,0.0
749,neu,0.71
750,pos,0.29
751,compound,0.8402
752,neg,0.366
753,neu,0.543
754,pos,0.091
755,compound,-0.765
756,neg,0.0
757,neu,1.0
758,pos,0.0
759,compound,0.0
760,neg,0.0
761,neu,1.0
762,pos,0.0
763,compound,0.0
764,neg,0.0
765,neu,1.0
766,pos,0.0
767,compound,0.0
768,neg,0.0
769,neu,1.0
770,pos,0.0
771,compound,0.0
772,neg,0.0
773,neu,0.915
774,pos,0.085
775,compound,0.1027
776,neg,0.32
777,neu,0.601
778,pos,0.079
779,compound,-0.765
780,neg,0.0
781,neu,1.0
782,pos,0.0
783,compound,0.0
784,neg,0.0
785,neu,0.769
786,pos,0.231
787,compound,0.34
788,neg,0.0
789,neu,0.853
790,pos,0.147
791,compound,0.4767
792,neg,0.296
793,neu,0.704
794,pos,0.0
795,compound,-0.2732
796,neg,0.0
797,neu,1.0
798,pos,0.0
799,compound,0.0
800,neg,0.0
801,neu,1.0
802,pos,0.0
803,compound,0.0
804,neg,0.0
805,neu,0.899
806,pos,0.101
807,compound,0.4019
808,neg,0.0
809,neu,0.796
810,pos,0.204
811,compound,0.3182
812,neg,0.0
813,neu,1.0
814,pos,0.0
815,compound,0.0
816,neg,0.0
817,neu,0.952
818,pos,0.048
819,compound,0.0129
820,neg,0.0
821,neu,1.0
822,pos,0.0
823,compound,0.0
824,neg,0.0
825,neu,0.0
826,pos,1.0
827,compound,0.4767
828,neg,0.0
829,neu,1.0
830,pos,0.0
831,compound,0.0
832,neg,0.084
833,neu,0.916
834,pos,0.0
835,compound,-0.296
836,neg,0.0
837,neu,0.351
838,pos,0.649
839,compound,0.5719
840,neg,0.0
841,neu,1.0
842,pos,0.0
843,compound,0.0
844,neg,0.0
845,neu,1.0
846,pos,0.0
847,compound,0.0
848,neg,0.0
849,neu,1.0
850,pos,0.0
851,compound,0.0
852,neg,0.0
853,neu,1.0
854,pos,0.0
855,compound,0.0
856,neg,0.0
857,neu,1.0
858,pos,0.0
859,compound,0.0
860,neg,0.0
861,neu,0.735
862,pos,0.265
863,compound,0.6597
864,neg,0.0
865,neu,0.69
866,pos,0.31
867,compound,0.5423
868,neg,0.051
869,neu,0.736
870,pos,0.214
871,compound,0.6864
872,neg,0.0
873,neu,0.903
874,pos,0.097
875,compound,0.4019
876,neg,0.0
877,neu,0.729
878,pos,0.271
879,compound,0.7783
880,neg,0.045
881,neu,0.668
882,pos,0.288
883,compound,0.9022
884,neg,0.0
885,neu,0.863
886,pos,0.137
887,compound,0.4019
888,neg,0.0
889,neu,1.0
890,pos,0.0
891,compound,0.0
892,neg,0.0
893,neu,0.803
894,pos,0.197
895,compound,0.4019
896,neg,0.0
897,neu,1.0
898,pos,0.0
899,compound,0.0
900,neg,0.0
901,neu,1.0
902,pos,0.0
903,compound,0.0
904,neg,0.0
905,neu,0.81
906,pos,0.19
907,compound,0.4588
908,neg,0.0
909,neu,0.596
910,pos,0.404
911,compound,0.936
912,neg,0.0
913,neu,1.0
914,pos,0.0
915,compound,0.0
916,neg,0.049
917,neu,0.773
918,pos,0.178
919,compound,0.7351
920,neg,0.0
921,neu,1.0
922,pos,0.0
923,compound,0.0
924,neg,0.0
925,neu,0.684
926,pos,0.316
927,compound,0.5719
928,neg,0.0
929,neu,0.946
930,pos,0.054
931,compound,0.5719
932,neg,0.439
933,neu,0.561
934,pos,0.0
935,compound,-0.5719
936,neg,0.0
937,neu,0.916
938,pos,0.084
939,compound,0.1406
940,neg,0.0
941,neu,1.0
942,pos,0.0
943,compound,0.0
944,neg,0.0
945,neu,0.781
946,pos,0.219
947,compound,0.7227
948,neg,0.0
949,neu,0.846
950,pos,0.154
951,compound,0.4767
952,neg,0.0
953,neu,0.619
954,pos,0.381
955,compound,0.5719
956,neg,0.0
957,neu,0.744
958,pos,0.256
959,compound,0.4767
960,neg,0.0
961,neu,0.69
962,pos,0.31
963,compound,0.9468
964,neg,0.0
965,neu,1.0
966,pos,0.0
967,compound,0.0
968,neg,0.0
969,neu,1.0
970,pos,0.0
971,compound,0.0
972,neg,0.0
973,neu,0.838
974,pos,0.162
975,compound,0.4767
976,neg,0.0
977,neu,0.833
978,pos,0.167
979,compound,0.5859
980,neg,0.0
981,neu,1.0
982,pos,0.0
983,compound,0.0
984,neg,0.122
985,neu,0.664
986,pos,0.215
987,compound,0.4497
988,neg,0.0
989,neu,0.713
990,pos,0.287
991,compound,0.9231
992,neg,0.0
993,neu,1.0
994,pos,0.0
995,compound,0.0
996,neg,0.0
997,neu,1.0
998,pos,0.0
999,compound,0.0
1000,neg,0.0
1001,neu,1.0
1002,pos,0.0
1003,compound,0.0
1004,neg,0.0
1005,neu,1.0
1006,pos,0.0
1007,compound,0.0
1008,neg,0.0
1009,neu,1.0
1010,pos,0.0
1011,compound,0.0
1012,neg,0.0
1013,neu,1.0
1014,pos,0.0
1015,compound,0.0
1016,neg,0.118
1017,neu,0.588
1018,pos,0.294
1019,compound,0.4767
1020,neg,0.0
1021,neu,1.0
1022,pos,0.0
1023,compound,0.0
1024,neg,0.0
1025,neu,0.917
1026,pos,0.083
1027,compound,0.2023
1028,neg,0.197
1029,neu,0.745
1030,pos,0.059
1031,compound,-0.7289
1032,neg,0.172
1033,neu,0.643
1034,pos,0.186
1035,compound,0.05
1036,neg,0.113
1037,neu,0.813
1038,pos,0.074
1039,compound,-0.1446
1040,neg,0.0
1041,neu,0.633
1042,pos,0.367
1043,compound,0.4404
1044,neg,0.0
1045,neu,0.775
1046,pos,0.225
1047,compound,0.4939
1048,neg,0.477
1049,neu,0.523
1050,pos,0.0
1051,compound,-0.6674
1052,neg,0.611
1053,neu,0.229
1054,pos,0.16
1055,compound,-0.9152
1056,neg,0.0
1057,neu,0.784
1058,pos,0.216
1059,compound,0.7003
1060,neg,0.0
1061,neu,0.606
1062,pos,0.394
1063,compound,0.3818
1064,neg,0.467
1065,neu,0.533
1066,pos,0.0
1067,compound,-0.5423
1068,neg,0.0
1069,neu,1.0
1070,pos,0.0
1071,compound,0.0
1072,neg,0.437
1073,neu,0.563
1074,pos,0.0
1075,compound,-0.4767
1076,neg,0.506
1077,neu,0.494
1078,pos,0.0
1079,compound,-0.6249
1080,neg,0.0
1081,neu,1.0
1082,pos,0.0
1083,compound,0.0
1084,neg,0.387
1085,neu,0.613
1086,pos,0.0
1087,compound,-0.2247
1088,neg,0.0
1089,neu,1.0
1090,pos,0.0
1091,compound,0.0
1092,neg,0.0
1093,neu,0.912
1094,pos,0.088
1095,compound,0.4019
1096,neg,0.0
1097,neu,1.0
1098,pos,0.0
1099,compound,0.0
1100,neg,0.0
1101,neu,1.0
1102,pos,0.0
1103,compound,0.0
1104,neg,0.0
1105,neu,0.351
1106,pos,0.649
1107,compound,0.5719
1108,neg,0.179
1109,neu,0.522
1110,pos,0.299
1111,compound,0.1531
1112,neg,0.0
1113,neu,1.0
1114,pos,0.0
1115,compound,0.0
1116,neg,0.0
1117,neu,1.0
1118,pos,0.0
1119,compound,0.0
1120,neg,0.371
1121,neu,0.629
1122,pos,0.0
1123,compound,-0.6486
1124,neg,0.138
1125,neu,0.739
1126,pos,0.123
1127,compound,-0.0772
1128,neg,0.349
1129,neu,0.651
1130,pos,0.0
1131,compound,-0.8807
1132,neg,0.0
1133,neu,1.0
1134,pos,0.0
1135,compound,0.0
1136,neg,0.0
1137,neu,1.0
1138,pos,0.0
1139,compound,0.0
1140,neg,0.0
1141,neu,1.0
1142,pos,0.0
1143,compound,0.0
1144,neg,0.0
1145,neu,0.852
1146,pos,0.148
1147,compound,0.7717
1148,neg,0.0
1149,neu,0.981
1150,pos,0.019
1151,compound,0.4404
1152,neg,0.0
1153,neu,0.913
1154,pos,0.087
1155,compound,0.2263
1156,neg,0.0
1157,neu,0.776
1158,pos,0.224
1159,compound,0.6369
1160,neg,0.0
1161,neu,1.0
1162,pos,0.0
1163,compound,0.0
1164,neg,0.0
1165,neu,1.0
1166,pos,0.0
1167,compound,0.0
1168,neg,0.097
1169,neu,0.845
1170,pos,0.058
1171,compound,-0.2323
1172,neg,0.0
1173,neu,1.0
1174,pos,0.0
1175,compound,0.0
1176,neg,0.115
1177,neu,0.791
1178,pos,0.094
1179,compound,-0.0772
1180,neg,0.0
1181,neu,0.724
1182,pos,0.276
1183,compound,0.1717
1184,neg,0.049
1185,neu,0.806
1186,pos,0.145
1187,compound,0.5423
1188,neg,0.0
1189,neu,1.0
1190,pos,0.0
1191,compound,0.0
1192,neg,0.0
1193,neu,1.0
1194,pos,0.0
1195,compound,0.0
1196,neg,0.0
1197,neu,0.91
1198,pos,0.09
1199,compound,0.6705
1200,neg,0.004
1201,neu,0.962
1202,pos,0.034
1203,compound,0.9153
1204,neg,0.0
1205,neu,0.714
1206,pos,0.286
1207,compound,0.4215
1208,neg,0.0
1209,neu,1.0
1210,pos,0.0
1211,compound,0.0
1212,neg,0.259
1213,neu,0.741
1214,pos,0.0
1215,compound,-0.4215
1216,neg,0.293
1217,neu,0.4
1218,pos,0.307
1219,compound,0.0258
1220,neg,0.0
1221,neu,1.0
1222,pos,0.0
1223,compound,0.0
1224,neg,0.0
1225,neu,1.0
1226,pos,0.0
1227,compound,0.0
1228,neg,0.0
1229,neu,0.872
1230,pos,0.128
1231,compound,0.3612
1232,neg,0.0
1233,neu,0.758
1234,pos,0.242
1235,compound,0.6908
1236,neg,0.0
1237,neu,0.672
1238,pos,0.328
1239,compound,0.7783
1240,neg,0.0
1241,neu,0.759
1242,pos,0.241
1243,compound,0.836
1244,neg,0.0
1245,neu,0.898
1246,pos,0.102
1247,compound,0.3818
1248,neg,0.0
1249,neu,0.874
1250,pos,0.126
1251,compound,0.4404
1252,neg,0.231
1253,neu,0.769
1254,pos,0.0
1255,compound,-0.5423
1256,neg,0.0
1257,neu,0.617
1258,pos,0.383
1259,compound,0.6369
1260,neg,0.0
1261,neu,0.847
1262,pos,0.153
1263,compound,0.3818
1264,neg,0.0
1265,neu,0.515
1266,pos,0.485
1267,compound,0.765
1268,neg,0.187
1269,neu,0.569
1270,pos,0.244
1271,compound,0.1779
1272,neg,0.0
1273,neu,1.0
1274,pos,0.0
1275,compound,0.0
1276,neg,0.0
1277,neu,0.707
1278,pos,0.293
1279,compound,0.4404
1280,neg,0.0
1281,neu,1.0
1282,pos,0.0
1283,compound,0.0
1284,neg,0.0
1285,neu,1.0
1286,pos,0.0
1287,compound,0.0
1288,neg,0.0
1289,neu,0.913
1290,pos,0.087
1291,compound,0.8176
1292,neg,0.0
1293,neu,0.833
1294,pos,0.167
1295,compound,0.3818
1296,neg,0.0
1297,neu,1.0
1298,pos,0.0
1299,compound,0.0
1300,neg,0.172
1301,neu,0.828
1302,pos,0.0
1303,compound,-0.3612
1304,neg,0.0
1305,neu,1.0
1306,pos,0.0
1307,compound,0.0
1308,neg,0.0
1309,neu,0.769
1310,pos,0.231
1311,compound,0.6597
1312,neg,0.0
1313,neu,0.703
1314,pos,0.297
1315,compound,0.6705
1316,neg,0.0
1317,neu,0.408
1318,pos,0.592
1319,compound,0.4404
1320,neg,0.0
1321,neu,1.0
1322,pos,0.0
1323,compound,0.0
1324,neg,0.0
1325,neu,1.0
1326,pos,0.0
1327,compound,0.0
1328,neg,0.0
1329,neu,0.749
1330,pos,0.251
1331,compound,0.5719
1332,neg,0.106
1333,neu,0.709
1334,pos,0.184
1335,compound,0.2732
1336,neg,0.227
1337,neu,0.673
1338,pos,0.1
1339,compound,-0.775
1340,neg,0.0
1341,neu,1.0
1342,pos,0.0
1343,compound,0.0
1344,neg,0.0
1345,neu,0.823
1346,pos,0.177
1347,compound,0.4215
1348,neg,0.0
1349,neu,1.0
1350,pos,0.0
1351,compound,0.0
1352,neg,0.0
1353,neu,0.845
1354,pos,0.155
