symbol,name,minethecoin_link,algorithm,market_cap,market_cap_pretty,hash_rate,hash_rate_pretty,rentable_capacity,rentable_capacity_pretty,nicehash_market_link,attack_hourly_cost,attack_hourly_cost_pretty,network_vs_rentable_ratio,rentable_price_btc,rentable_price_units,rentable_price_usd_hour,block_time
ESN,EtherSocial,https://google.com,Ethash,0.0,,1958342650,2 GH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,3.2442036121369573,$3,4246.938318389281,2.078,TH,"$1,656.61",78.0
EXP,Expanse,https://google.com,Ethash,0.0,,49999065511,50 GH/s,8316960440821.01,8 TH/s,https://www.nicehash.com/algorithm/ethash,82.82878838096008,$83,166.34231771774304,2.078,TH,"$1,656.61",21.0
GBX,GoByte,https://google.com,NeoScrypt,0.0,,722650195,723 MH/s,675669771.6425059,676 MH/s,https://www.nicehash.com/algorithm/neoscrypt,15.043501216278344,$15,0.9349887072852805,0.026,GH,$20.82,159.0
HAL,Halcyon,https://google.com,NeoScrypt,0.0,,5954782,6 MH/s,675669771.6425059,676 MH/s,https://www.nicehash.com/algorithm/neoscrypt,0.12396145587378189,$0,113.46675187143809,0.026,GH,$20.82,600.0
HANA,Hanacoin,https://google.com,Lyra2REv3,0.0,,2499745176,2 GH/s,11678256422.759716,12 GH/s,https://www.nicehash.com/algorithm/lyra2rev3,0.01544158684665739,$0,4.671778761644349,0.008,TH,$6.18,93.0
HUSH,Hush,https://google.com,Equihash,0.0,,3857992,4 MH/s,265749975.4440713,266 MH/s,https://www.nicehash.com/algorithm/equihash,4.344755589567018,$4,68.88297732189992,0.001,MSol,$1.13,75.0
INFX,Influxcoin,https://google.com,X11,0.0,,20391729154,20 GH/s,126599027412439.75,127 TH/s,https://www.nicehash.com/algorithm/x11,0.009212898874535405,$0,6208.351751651544,0.567,PH,$451.80,240.0
LCP,LitecoinPlus,https://google.com,Scrypt,0.0,,3945475460,4 GH/s,12760261161316.525,13 TH/s,https://www.nicehash.com/algorithm/scrypt,0.5101047572970928,$1,3234.150431470818,0.162,TH,$129.29,30.0
MAX,Maxcoin,https://google.com,Keccak,0.0,,338436887153,338 GH/s,8288711856273.01,8 TH/s,https://www.nicehash.com/algorithm/keccak,0.647497949552572,$1,24.491159713704207,0.002,TH,$1.91,97.0
MOON,Mooncoin,https://google.com,Scrypt,0.0,,5875504552,6 GH/s,12760261161316.525,13 TH/s,https://www.nicehash.com/algorithm/scrypt,0.7596353985422898,$1,2171.7728321685972,0.162,TH,$129.29,106.0
ORB,Orbitcoin,https://google.com,NeoScrypt,0.0,,24777105,25 MH/s,675669771.6425059,676 MH/s,https://www.nicehash.com/algorithm/neoscrypt,0.5157881528051843,$1,27.269924054586113,0.026,GH,$20.82,360.0
PXC,Phoenixcoin,https://google.com,NeoScrypt,0.0,,198499934,198 MH/s,675669771.6425059,676 MH/s,https://www.nicehash.com/algorithm/neoscrypt,4.13219842632184,$4,3.4038790745517624,0.026,GH,$20.82,83.0
START,Startcoin,https://google.com,X11,0.0,,202364671594,202 GH/s,126599027412439.75,127 TH/s,https://www.nicehash.com/algorithm/x11,0.09142752147668552,$0,625.598462494643,0.567,PH,$451.80,64.0
VIVO,Vivo,https://google.com,NeoScrypt,0.0,,650000,650 KH/s,675669771.6425059,676 MH/s,https://www.nicehash.com/algorithm/neoscrypt,0.013531132847173622,$0,1039.491956373086,0.026,GH,$20.82,131.0
WDC,Worldcoin,https://google.com,Scrypt,0.0,,1224184984,1 GH/s,12760261161316.525,13 TH/s,https://www.nicehash.com/algorithm/scrypt,0.15827308786507202,$0,10423.47466117631,0.162,TH,$129.29,36.0
ZET,Zetacoin,https://google.com,SHA-256,0.0,,59673391639215,60 TH/s,4.46452622496894e+17,446 PH/s,https://www.nicehash.com/algorithm/sha256,0.3718429470231386,$0,7481.602942834959,0.008,PH,$6.23,30.0
